משחק,הסבר,קישור,סיווג,פנטומימה,מדבקות,הכתר,-,פעילות,פירוט,קישור,סיווג,48 שאלות,-,שם הפתק,פירוט הפתק,-,חידות שירים,מה משותף,חידות ערים,צירופים והיפוכם,חידות אותיות,חידות פילים,חידות חל,חידות גל,חידות מס,חידות פר,חידות חן,חידות עץ,חידות חיות לפי הא'-ב',,-
היפי הופ,צריך להסתובב על הכיסאות כך שעושים כל מיני שטויות,https://he.wikipedia.org/wiki/אהבה,כיתה,https://he.wikipedia.org/wiki/אהבה,https://he.wikipedia.org/wiki/אהבה,https://he.wikipedia.org/wiki/אהבה,,הדוור,עושים דברים שווים עם מילים,https://he.wikipedia.org/wiki/אהבה,כל מקום,קישור,,פתק 1 לדוגמא,בפתק 1 כתוב שיש הרבה מילים בפתק זה,,מה לא יכול החושך לכבות? (חלומות של אתמול),"שביל, שיני, מוצרי- חלב",העיר החזקה (עזה),חול מלחמה- שבת שלום,באיזו אות גרים? (ב'),ארץ של פילים (פיליפינים),פתח בקיר (חלון ),מציגים בה ציורים (גלריה),גומי לעיסה (מסטיק),נותנת חלב (פרה),חן בפנים (נקודת חן),מחברים איתו דפים ללוח (נעץ),מלך החיות (אריה),,
לעמוד על הכיסא,עומדים על הכיסא ומוציאים כיסא כל תשובה שגויה בחידה,https://he.wikipedia.org/wiki/אהבה,כיתה,להציג כמה שיותר מילים בפנטומימה קבוצה נגד קבוצה,לגרום לאחרים להגיד את המילה,לנחש מי הדמות באמצעות כן ולא,,כן לא שחור לבן,צריך לשים לב שלא אוכלים את הראש,https://he.wikipedia.org/wiki/אהבה,כל מקום,כל אחד בוחר מספר ומקבל שאלה,,,,,איך תלך לפני העדר? (כמו עמוד ענן),"לחם, חמור, הבית ה- לבן",אח של אבא שלי נשרף (אשדוד),עמק התלמיד- גבעת המורה,דרך איזו אות נכנסים לחדר/בית? (ד'),פיל בתזמורת (פילהרמונית),עץ במדורה (גחל),"מגורש למדינה זרה, נמצא ב... (גלות)",מקרינים עליו סרט (מסך),בעלה (פר),משהו שיש בפה (חניכיים),גדול מאוד (עצום),שוחה במים ואוכל פלנקטון (ברווז),,
תפסוני,כל הילדים קופצים ורצים,https://he.wikipedia.org/wiki/אהבה,בחוץ,דבורה,חלון,בובספוג,,,,,,מה אתה אוהב לאכול,,,,,איפה עייפתי ואשב? (בין אילת ומטולה),"שנה, כפל, כיתה- לוח",בושה לאותה שרפה (אשקלון),שכחת לאה- זיכרון יעקב,איזו אות אומרת שלום? (ה'),פיל שהוא פרצוף מהצד (פרופיל),מים זורמים (נחל),שמנמן (עגלגל),תשלום לממשלה (מס הכנסה),עף מפרח אל פרח (פרפר),מקום למכוניות (חניון/חניה),כעס דול (עצבים),ספינת המדבר (גמל),,
,,,,עכבר,דוד,אני,,,,,,מה אתה אוהב לשתוצ,,,,,על מה נאמר אותה לא מצאנו? (אומרים ישנה ארץ),"חן, אבן, מצא- חן",הקיבוץ של פלוטו (מגידו),האוהל השחור- הבית הלבן,על איזו אות תולים בגדים? (ו'),עיר של פילים (פילדלפיה),מגיע מהפרה (חלב),עושים לילדים במירון (גלח),ממריא לגובה (מסוק),לרגלי הסוס (פרסה),סופר (חנות),"דעה, רעיון שניתן למישהו אחר (עצה)",חרק שעוקץ (דבורה),,
,,,,כיסא,ישראל,הרצל,,,,,,איך קוראים לאבא ואמא,,,,,מה עוד תראה? (כמה טוב יהיה בשנה הבאה),"סטרי, פרצוף, קרב- דו",חבריה נעלמו ופרשו כנפיה (עפולה),לכלוך זנב- ניקוי ראש,איזו אות היא עבירה? (ח'),פיל ירק (פילפל),טלסקופ מסתכל ל... (חלל),מצבת זיכרון (גלעד),ריח לא טוב (מסריח),פנים (פרצוף),לכל מדריך יש... (חניך),לא שמח (עצוב),סוס יאור (היפופוטם),,
,,,,שולחן,הרצל,בן גוריון,,,,,,,,,,,איפה את שומעת סטריאו? (בג'יפ שלך),"בלהות, בהקיץ, שנת- חלום",העיר שזכתה במקום השלישי (ערד),אשת גוף- איש רוח,איזו אות היא משחה ששמים על פצע? (י'),פיל שדתיים מניחים בבוקר (תפילין),הורדת נעל (חליצה),"פרח סגול, או שם של ילדה (סיגלית)",טיול ארוך (מסע/מסלול),בית הנבחרים (פרלמנט),אמא של שמואל הנביא (חנה),בה מחליטים החלטות חשובות לעיר (מועצה),סוג של חיידק (וירוס),,
,,,,,מילה 6,קטגוריה 6,,,,,,,,,,,,,,,,,,,,,,,,,
